,prdtypecode
85423.0,2583
85424.0,2583
85425.0,2583
85426.0,2060
85427.0,2585
85428.0,2582
85429.0,1280
85430.0,1300
85431.0,1560
85432.0,1920
85433.0,2060
85434.0,2522
85435.0,2522
85436.0,2522
85437.0,1300
85438.0,1320
85439.0,50
85440.0,2403
85441.0,2403
85442.0,1920
85443.0,2403
85444.0,1160
85445.0,1280
85446.0,2583
85447.0,1560
85448.0,2280
85449.0,1560
85450.0,1320
85451.0,50
85452.0,1140
85453.0,2060
85454.0,2583
85455.0,2583
85456.0,2060
85457.0,2705
85458.0,1320
85459.0,1300
85460.0,1940
85461.0,2403
85462.0,40
85463.0,1300
85464.0,2583
85465.0,1320
85466.0,2280
85467.0,2705
85468.0,2280
85469.0,2583
85470.0,1300
85471.0,2522
85472.0,1300
85473.0,2280
85474.0,1300
85475.0,2280
85476.0,1320
85477.0,2583
85478.0,1920
85479.0,1280
85480.0,2585
85481.0,2583
85482.0,1940
85483.0,10
85484.0,1280
85485.0,2585
85486.0,1301
85487.0,1320
85488.0,1300
85489.0,2583
85490.0,2582
85491.0,2522
85492.0,2522
85493.0,2060
85494.0,2280
85495.0,2403
85496.0,2582
85497.0,2462
85498.0,1920
85499.0,1920
85500.0,1920
85501.0,2403
85502.0,1160
85503.0,2280
85504.0,1300
85505.0,1560
85506.0,2585
85507.0,2280
85508.0,1920
85509.0,2280
85510.0,2403
85511.0,2280
85512.0,2705
85513.0,2462
85514.0,2060
85515.0,1280
85516.0,1920
85517.0,1160
85518.0,2582
85519.0,2582
85520.0,1281
85521.0,60
85522.0,2060
85523.0,1301
85524.0,1280
85525.0,1300
85526.0,2403
85527.0,1160
85528.0,2403
85529.0,1940
85530.0,2583
85531.0,2583
85532.0,2462
85533.0,1302
85534.0,2582
85535.0,2705
85536.0,1160
85537.0,2060
85538.0,2280
85539.0,2522
85540.0,1300
85541.0,2462
85542.0,2403
85543.0,2582
85544.0,1302
85545.0,1300
85546.0,2462
85547.0,2220
85548.0,1920
85549.0,2280
85550.0,2403
85551.0,1920
85552.0,1320
85553.0,2060
85554.0,10
85555.0,50
85556.0,40
85557.0,1300
85558.0,1280
85559.0,1560
85560.0,2583
85561.0,2705
85562.0,1920
85563.0,1300
85564.0,1160
85565.0,1300
85566.0,10
85567.0,1920
85568.0,1300
85569.0,1320
85570.0,1300
85571.0,1560
85572.0,2582
85573.0,1940
85574.0,2280
85575.0,10
85576.0,1302
85577.0,50
85578.0,10
85579.0,1140
85580.0,2280
85581.0,2583
85582.0,1320
85583.0,2582
85584.0,2585
85585.0,2583
85586.0,2583
85587.0,2522
85588.0,2280
85589.0,2705
85590.0,2583
85591.0,2522
85592.0,2522
85593.0,1320
85594.0,1281
85595.0,2060
85596.0,1560
85597.0,2583
85598.0,50
85599.0,2060
85600.0,1140
85601.0,1301
85602.0,2585
85603.0,2582
85604.0,2705
85605.0,1280
85606.0,1302
85607.0,1320
85608.0,2060
85609.0,2220
85610.0,1160
85611.0,2403
85612.0,1560
85613.0,2522
85614.0,2280
85615.0,60
85616.0,2522
85617.0,2705
85618.0,1281
85619.0,2705
85620.0,1320
85621.0,1160
85622.0,1320
85623.0,2583
85624.0,2280
85625.0,2060
85626.0,2905
85627.0,1160
85628.0,2583
85629.0,2582
85630.0,1280
85631.0,1160
85632.0,10
85633.0,1140
85634.0,1560
85635.0,1160
85636.0,2583
85637.0,2403
85638.0,1301
85639.0,1302
85640.0,2585
85641.0,1160
85642.0,1560
85643.0,1302
85644.0,2462
85645.0,2705
85646.0,1302
85647.0,1160
85648.0,1560
85649.0,2583
85650.0,1560
85651.0,2403
85652.0,2280
85653.0,2583
85654.0,2705
85655.0,1300
85656.0,2583
85657.0,2583
85658.0,2522
85659.0,10
85660.0,1160
85661.0,2280
85662.0,2060
85663.0,10
85664.0,1160
85665.0,2582
85666.0,1160
85667.0,1300
85668.0,1300
85669.0,1320
85670.0,2060
85671.0,10
85672.0,2280
85673.0,2522
85674.0,1920
85675.0,2705
85676.0,1160
85677.0,2585
85678.0,1280
85679.0,10
85680.0,1140
85681.0,1140
85682.0,2280
85683.0,1300
85684.0,2585
85685.0,1302
85686.0,2583
85687.0,2705
85688.0,2220
85689.0,1560
85690.0,2583
85691.0,10
85692.0,2583
85693.0,2583
85694.0,10
85695.0,2403
85696.0,2583
85697.0,1140
85698.0,2220
85699.0,2522
85700.0,10
85701.0,1320
85702.0,1560
85703.0,2522
85704.0,40
85705.0,2583
85706.0,50
85707.0,2585
85708.0,1300
85709.0,10
85710.0,2403
85711.0,1320
85712.0,2905
85713.0,1560
85714.0,60
85715.0,2585
85716.0,2583
85717.0,2060
85718.0,2060
85719.0,1301
85720.0,1280
85721.0,1301
85722.0,1320
85723.0,2060
85724.0,2280
85725.0,2403
85726.0,1300
85727.0,2585
85728.0,50
85729.0,1160
85730.0,2280
85731.0,1281
85732.0,2220
85733.0,1280
85734.0,2583
85735.0,2905
85736.0,1180
85737.0,1140
85738.0,1160
85739.0,2280
85740.0,1180
85741.0,2585
85742.0,2280
85743.0,2585
85744.0,2060
85745.0,2583
85746.0,1560
85747.0,1280
85748.0,2522
85749.0,1140
85750.0,1140
85751.0,2060
85752.0,2705
85753.0,2583
85754.0,1140
85755.0,50
85756.0,2220
85757.0,1140
85758.0,2522
85759.0,1560
85760.0,1160
85761.0,2060
85762.0,1280
85763.0,2403
85764.0,1160
85765.0,1920
85766.0,1160
85767.0,40
85768.0,1302
85769.0,10
85770.0,2403
85771.0,10
85772.0,1320
85773.0,2583
85774.0,2403
85775.0,2280
85776.0,1160
85777.0,2705
85778.0,2403
85779.0,1160
85780.0,1281
85781.0,2403
85782.0,2060
85783.0,1920
85784.0,1560
85785.0,10
85786.0,2280
85787.0,1281
85788.0,1300
85789.0,2403
85790.0,1160
85791.0,2522
85792.0,1320
85793.0,1302
85794.0,2583
85795.0,2403
85796.0,2583
85797.0,2705
85798.0,2585
85799.0,1302
85800.0,2583
85801.0,1560
85802.0,2585
85803.0,2280
85804.0,1560
85805.0,1320
85806.0,50
85807.0,1300
85808.0,1280
85809.0,1140
85810.0,2583
85811.0,10
85812.0,2403
85813.0,2462
85814.0,2403
85815.0,2582
85816.0,2522
85817.0,1560
85818.0,1301
85819.0,10
85820.0,10
85821.0,2060
85822.0,2583
85823.0,60
85824.0,2705
85825.0,1920
85826.0,2280
85827.0,2280
85828.0,2280
85829.0,1160
85830.0,1302
85831.0,40
85832.0,1300
85833.0,1320
85834.0,2403
85835.0,2583
85836.0,50
85837.0,2583
85838.0,1300
85839.0,1160
85840.0,1280
85841.0,2583
85842.0,1320
85843.0,40
85844.0,2280
85845.0,2462
85846.0,2582
85847.0,1920
85848.0,2280
85849.0,2403
85850.0,1320
85851.0,2583
85852.0,2220
85853.0,1160
85854.0,1300
85855.0,2585
85856.0,2060
85857.0,1560
85858.0,1301
85859.0,10
85860.0,2583
85861.0,2060
85862.0,10
85863.0,1140
85864.0,1300
85865.0,1140
85866.0,2522
85867.0,1302
85868.0,2280
85869.0,10
85870.0,2280
85871.0,2522
85872.0,2280
85873.0,1140
85874.0,2060
85875.0,2585
85876.0,10
85877.0,2280
85878.0,2583
85879.0,1300
85880.0,2583
85881.0,2583
85882.0,60
85883.0,1281
85884.0,10
85885.0,2522
85886.0,2522
85887.0,1300
85888.0,2583
85889.0,1560
85890.0,2905
85891.0,1180
85892.0,2585
85893.0,2403
85894.0,2705
85895.0,2060
85896.0,1920
85897.0,2403
85898.0,2585
85899.0,1281
85900.0,2462
85901.0,2280
85902.0,1160
85903.0,1300
85904.0,2060
85905.0,1140
85906.0,2583
85907.0,2585
85908.0,1300
85909.0,1300
85910.0,2583
85911.0,2280
85912.0,1302
85913.0,1160
85914.0,2403
85915.0,1560
85916.0,1940
85917.0,2403
85918.0,2583
85919.0,2280
85920.0,1302
85921.0,2585
85922.0,2583
85923.0,2220
85924.0,10
85925.0,2462
85926.0,1920
85927.0,2583
85928.0,2583
85929.0,50
85930.0,2220
85931.0,1160
85932.0,1140
85933.0,1180
85934.0,2705
85935.0,1300
85936.0,60
85937.0,1281
85938.0,50
85939.0,1560
85940.0,1920
85941.0,1301
85942.0,10
85943.0,1160
85944.0,2905
85945.0,1302
85946.0,2060
85947.0,1940
85948.0,40
85949.0,2403
85950.0,1920
85951.0,2583
85952.0,1302
85953.0,1140
85954.0,1300
85955.0,2060
85956.0,2403
85957.0,2583
85958.0,2583
85959.0,10
85960.0,1281
85961.0,10
85962.0,1280
85963.0,2583
85964.0,2705
85965.0,1320
85966.0,10
85967.0,2060
85968.0,1281
85969.0,2583
85970.0,1560
85971.0,2403
85972.0,1302
85973.0,1280
85974.0,2280
85975.0,1280
85976.0,2060
85977.0,1560
85978.0,2060
85979.0,2522
85980.0,1920
85981.0,1280
85982.0,2280
85983.0,10
85984.0,2583
85985.0,2060
85986.0,2280
85987.0,2583
85988.0,2583
85989.0,1920
85990.0,2583
85991.0,2522
85992.0,2583
85993.0,1320
85994.0,1920
85995.0,1140
85996.0,1560
85997.0,1320
85998.0,2280
85999.0,1940
86000.0,1140
86001.0,2522
86002.0,2583
86003.0,2585
86004.0,1160
86005.0,1301
86006.0,1300
86007.0,2280
86008.0,2583
86009.0,1301
86010.0,1300
86011.0,1280
86012.0,10
86013.0,10
86014.0,2905
86015.0,1920
86016.0,2403
86017.0,1280
86018.0,1302
86019.0,2280
86020.0,1280
86021.0,2583
86022.0,1302
86023.0,2060
86024.0,1560
86025.0,2585
86026.0,2522
86027.0,2583
86028.0,1560
86029.0,2583
86030.0,10
86031.0,1560
86032.0,1300
86033.0,1300
86034.0,2060
86035.0,1160
86036.0,2583
86037.0,50
86038.0,1280
86039.0,1560
86040.0,1320
86041.0,1160
86042.0,2583
86043.0,1140
86044.0,2522
86045.0,10
86046.0,1160
86047.0,1920
86048.0,2060
86049.0,1560
86050.0,2060
86051.0,2060
86052.0,2280
86053.0,2583
86054.0,2220
86055.0,10
86056.0,2280
86057.0,2582
86058.0,2280
86059.0,2905
86060.0,50
86061.0,60
86062.0,2403
86063.0,2462
86064.0,1301
86065.0,1160
86066.0,2280
86067.0,1920
86068.0,1280
86069.0,1281
86070.0,1300
86071.0,1140
86072.0,1280
86073.0,1300
86074.0,2585
86075.0,50
86076.0,2705
86077.0,1560
86078.0,2280
86079.0,2280
86080.0,2220
86081.0,2583
86082.0,1300
86083.0,2403
86084.0,1920
86085.0,2280
86086.0,2582
86087.0,1281
86088.0,1160
86089.0,1300
86090.0,2583
86091.0,1320
86092.0,2522
86093.0,10
86094.0,1320
86095.0,40
86096.0,1300
86097.0,1301
86098.0,2522
86099.0,1920
86100.0,2583
86101.0,2403
86102.0,1280
86103.0,1560
86104.0,1160
86105.0,2220
86106.0,2522
86107.0,1140
86108.0,1300
86109.0,1281
86110.0,1560
86111.0,1281
86112.0,2522
86113.0,1920
86114.0,2280
86115.0,1560
86116.0,1920
86117.0,1920
86118.0,2280
86119.0,1320
86120.0,1281
86121.0,2403
86122.0,1302
86123.0,10
86124.0,2585
86125.0,1160
86126.0,2582
86127.0,1281
86128.0,1301
86129.0,1140
86130.0,1281
86131.0,1302
86132.0,10
86133.0,1320
86134.0,1300
86135.0,1180
86136.0,1920
86137.0,2060
86138.0,2280
86139.0,2060
86140.0,2585
86141.0,1300
86142.0,2280
86143.0,1280
86144.0,1920
86145.0,2522
86146.0,1560
86147.0,2060
86148.0,10
86149.0,1280
86150.0,1280
86151.0,2582
86152.0,1940
86153.0,10
86154.0,10
86155.0,2060
86156.0,2522
86157.0,1180
86158.0,1280
86159.0,2585
86160.0,1160
86161.0,2403
86162.0,10
86163.0,2583
86164.0,2060
86165.0,60
86166.0,1140
86167.0,2583
86168.0,2060
86169.0,1560
86170.0,2280
86171.0,2060
86172.0,2522
86173.0,1160
86174.0,1280
86175.0,1300
86176.0,2583
86177.0,1281
86178.0,1180
86179.0,1300
86180.0,2403
86181.0,1160
86182.0,2060
86183.0,2583
86184.0,1940
86185.0,1140
86186.0,2462
86187.0,2060
86188.0,1281
86189.0,2403
86190.0,40
86191.0,10
86192.0,2280
86193.0,2705
86194.0,1280
86195.0,1300
86196.0,1300
86197.0,2280
86198.0,2585
86199.0,2280
86200.0,1560
86201.0,1301
86202.0,50
86203.0,2582
86204.0,2583
86205.0,1140
86206.0,10
86207.0,1281
86208.0,2280
86209.0,2585
86210.0,2060
86211.0,2060
86212.0,2060
86213.0,2705
86214.0,1560
86215.0,1300
86216.0,2522
86217.0,1560
86218.0,2280
86219.0,2060
86220.0,1920
86221.0,2522
86222.0,1160
86223.0,1280
86224.0,2583
86225.0,2060
86226.0,2583
86227.0,1300
86228.0,2583
86229.0,1300
86230.0,1180
86231.0,1281
86232.0,40
86233.0,2583
86234.0,2403
86235.0,2522
86236.0,1920
86237.0,2060
86238.0,1320
86239.0,2280
86240.0,2522
86241.0,10
86242.0,1160
86243.0,2403
86244.0,2060
86245.0,1560
86246.0,1301
86247.0,2583
86248.0,1300
86249.0,50
86250.0,1280
86251.0,2705
86252.0,1160
86253.0,1300
86254.0,2583
86255.0,2403
86256.0,2583
86257.0,1300
86258.0,1302
86259.0,1160
86260.0,2583
86261.0,1320
86262.0,50
86263.0,1160
86264.0,1280
86265.0,2280
86266.0,2583
86267.0,1280
86268.0,1281
86269.0,1560
86270.0,1300
86271.0,2403
86272.0,1140
86273.0,1320
86274.0,10
86275.0,2583
86276.0,2583
86277.0,1180
86278.0,1320
86279.0,2522
86280.0,40
86281.0,2705
86282.0,10
86283.0,2705
86284.0,2060
86285.0,1920
86286.0,1280
86287.0,2060
86288.0,2705
86289.0,10
86290.0,60
86291.0,1281
86292.0,1160
86293.0,1140
86294.0,1302
86295.0,10
86296.0,2583
86297.0,2905
86298.0,2905
86299.0,50
86300.0,1180
86301.0,2060
86302.0,2585
86303.0,1160
86304.0,1940
86305.0,2060
86306.0,1560
86307.0,2060
86308.0,50
86309.0,1320
86310.0,2522
86311.0,2060
86312.0,1920
86313.0,1920
86314.0,2585
86315.0,1560
86316.0,1281
86317.0,2280
86318.0,1160
86319.0,1920
86320.0,1920
86321.0,1180
86322.0,2462
86323.0,1160
86324.0,2583
86325.0,2583
86326.0,2583
86327.0,2585
86328.0,1160
86329.0,10
86330.0,2403
86331.0,1281
86332.0,2585
86333.0,2280
86334.0,1300
86335.0,60
86336.0,1280
86337.0,2280
86338.0,10
86339.0,2280
86340.0,2403
86341.0,2522
86342.0,2060
86343.0,1320
86344.0,1320
86345.0,2280
86346.0,40
86347.0,1560
86348.0,1940
86349.0,2705
86350.0,2583
86351.0,1140
86352.0,1140
86353.0,2585
86354.0,1160
86355.0,2280
86356.0,2522
86357.0,1280
86358.0,1302
86359.0,2582
86360.0,10
86361.0,1302
86362.0,1280
86363.0,2583
86364.0,2280
86365.0,2583
86366.0,1300
86367.0,2403
86368.0,2403
86369.0,2522
86370.0,1281
86371.0,1300
86372.0,1560
86373.0,2583
86374.0,2705
86375.0,50
86376.0,2583
86377.0,1140
86378.0,1140
86379.0,1300
86380.0,2462
86381.0,2462
86382.0,2583
86383.0,2280
86384.0,10
86385.0,2522
86386.0,2583
86387.0,1140
86388.0,2462
86389.0,1300
86390.0,2585
86391.0,2280
86392.0,1920
86393.0,2403
86394.0,1140
86395.0,10
86396.0,1160
86397.0,1300
86398.0,1920
86399.0,1920
86400.0,2705
86401.0,1280
86402.0,1281
86403.0,2583
86404.0,10
86405.0,2280
86406.0,2280
86407.0,2582
86408.0,1560
86409.0,1320
86410.0,2583
86411.0,2403
86412.0,1920
86413.0,2060
86414.0,2585
86415.0,10
86416.0,1300
86417.0,1302
86418.0,2280
86419.0,1560
86420.0,2403
86421.0,1180
86422.0,1940
86423.0,2705
86424.0,10
86425.0,2060
86426.0,1300
86427.0,1920
86428.0,2280
86429.0,1560
86430.0,1300
86431.0,1300
86432.0,1302
86433.0,1281
86434.0,1300
86435.0,1300
86436.0,1302
86437.0,2280
86438.0,1160
86439.0,1280
86440.0,2280
86441.0,1320
86442.0,2060
86443.0,50
86444.0,10
86445.0,40
86446.0,1302
86447.0,1300
86448.0,1281
86449.0,1300
86450.0,50
86451.0,1300
86452.0,2583
86453.0,1281
86454.0,1160
86455.0,1320
86456.0,10
86457.0,2582
86458.0,2280
86459.0,1920
86460.0,1300
86461.0,2585
86462.0,1940
86463.0,10
86464.0,2583
86465.0,2403
86466.0,1560
86467.0,50
86468.0,2705
86469.0,1281
86470.0,10
86471.0,2280
86472.0,1320
86473.0,2220
86474.0,1560
86475.0,2583
86476.0,40
86477.0,2060
86478.0,1281
86479.0,2522
86480.0,2522
86481.0,1320
86482.0,1320
86483.0,1140
86484.0,2522
86485.0,1320
86486.0,2705
86487.0,50
86488.0,2585
86489.0,2522
86490.0,2462
86491.0,2583
86492.0,2280
86493.0,2060
86494.0,1300
86495.0,2583
86496.0,10
86497.0,1280
86498.0,2060
86499.0,2522
86500.0,1300
86501.0,1180
86502.0,1300
86503.0,2582
86504.0,2522
86505.0,1320
86506.0,2522
86507.0,2583
86508.0,2705
86509.0,2280
86510.0,2705
86511.0,2060
86512.0,10
86513.0,1300
86514.0,1300
86515.0,60
86516.0,1160
86517.0,1160
86518.0,1560
86519.0,2280
86520.0,2583
86521.0,2462
86522.0,2583
86523.0,1300
86524.0,40
86525.0,2220
86526.0,1920
86527.0,1300
86528.0,2583
86529.0,1920
86530.0,1281
86531.0,1300
86532.0,2583
86533.0,1280
86534.0,2462
86535.0,1940
86536.0,1280
86537.0,2583
86538.0,2403
86539.0,1300
86540.0,1560
86541.0,1920
86542.0,2060
86543.0,1320
86544.0,2060
86545.0,2583
86546.0,2705
86547.0,1281
86548.0,1302
86549.0,2583
86550.0,1281
86551.0,1300
86552.0,1300
86553.0,1300
86554.0,2585
86555.0,1920
86556.0,1300
86557.0,1160
86558.0,2585
86559.0,2280
86560.0,2583
86561.0,1300
86562.0,2280
86563.0,2403
86564.0,1301
86565.0,2522
86566.0,1281
86567.0,2705
86568.0,2585
86569.0,2583
86570.0,1320
86571.0,1920
86572.0,2060
86573.0,2403
86574.0,1920
86575.0,1160
86576.0,1300
86577.0,2522
86578.0,2905
86579.0,2060
86580.0,1300
86581.0,1302
86582.0,2060
86583.0,2403
86584.0,1560
86585.0,1140
86586.0,1560
86587.0,2583
86588.0,1920
86589.0,2583
86590.0,10
86591.0,1560
86592.0,2582
86593.0,10
86594.0,2705
86595.0,1920
86596.0,1560
86597.0,1920
86598.0,2583
86599.0,1920
86600.0,1281
86601.0,2583
86602.0,1560
86603.0,1280
86604.0,1920
86605.0,2583
86606.0,1560
86607.0,2462
86608.0,1140
86609.0,2583
86610.0,1281
86611.0,2280
86612.0,2583
86613.0,1560
86614.0,1140
86615.0,2403
86616.0,1320
86617.0,2060
86618.0,60
86619.0,2522
86620.0,2705
86621.0,2705
86622.0,2583
86623.0,10
86624.0,2522
86625.0,2583
86626.0,1300
86627.0,2060
86628.0,1180
86629.0,1560
86630.0,2280
86631.0,2462
86632.0,1320
86633.0,2462
86634.0,2585
86635.0,1180
86636.0,2583
86637.0,1920
86638.0,1920
86639.0,40
86640.0,2280
86641.0,2403
86642.0,40
86643.0,1560
86644.0,2280
86645.0,2280
86646.0,2583
86647.0,1300
86648.0,2060
86649.0,2522
86650.0,2583
86651.0,1920
86652.0,60
86653.0,2585
86654.0,2280
86655.0,1560
86656.0,1140
86657.0,2583
86658.0,2403
86659.0,2060
86660.0,2582
86661.0,1280
86662.0,1560
86663.0,10
86664.0,1300
86665.0,1300
86666.0,1160
86667.0,1940
86668.0,1560
86669.0,1300
86670.0,2060
86671.0,2280
86672.0,10
86673.0,10
86674.0,2403
86675.0,1920
86676.0,2060
86677.0,2280
86678.0,2280
86679.0,1140
86680.0,2060
86681.0,10
86682.0,1140
86683.0,2582
86684.0,1140
86685.0,1920
